questions,answers
Computer scientist Edsger W. Dijkstra said that “It is far more likely that the programming occupation will become extinct than that programmers will ever approach professional status.” What did Dijkstra mean by that and do you agree with Dijkstra?,"I’ll start by saying that I don’t clearly understand the English as simply stated.

However, three things might help us (a) English was not Edsger’s native language (b) he was very proud of his skills in English (c) he delighted in coming up with snide remarks (one of his good friends was Bob Barton, who also liked to do this).

I read this as “programmers will never approach professional status” — and — “the programming occupation will never become extinct (too bad)”!

He desired the process of getting computers to “do what we mean!” to be rather like the mathematics he was used to when getting his PhD in mathematical physics. In his own words:

After having programmed for some three years, I had a discussion with A. van Wijngaarden, who was then my boss at the Mathematical Center in Amsterdam, a discussion for which I shall remain grateful to him as long as I live. The point was that I was supposed to study theoretical physics at the University of Leiden simultaneously, and as I found the two activities harder and harder to combine, I had to make up my mind, either to stop programming and become a real, respectable theoretical physicist, or to carry my study of physics to a formal completion only, with a minimum of effort, and to become....., yes what? A programmer? But was that a respectable profession? For after all, what was programming? Where was the sound body of knowledge that could support it as an intellectually respectable discipline? I remember quite vividly how I envied my hardware colleagues, who, when asked about their professional competence, could at least point out that they knew everything about vacuum tubes, amplifiers and the rest, whereas I felt that, when faced with that question, I would stand empty-handed.

He had “bitten the apple” and gotten hooked. And the dual attractions and repulsions of math on the one side and programming on the other stayed with him his whole life.

It was his pristineness towards the former that got him to disparage the latter — even though that was the path he also had taken …"
Was one byte ever less than eight bits in the past?,"When I started “programming as a job” in the US Air Force (ca 1962), the most general meaning for a “byte” was “a contiguous field of bits in a word that was smaller in size than the word”.

I still remember feeling annoyed when IBM redefined the term to mean an 8-bit entity (I remember this from 1964 when System 360 was announced — however, IBM could have forced the redefinition before this).

The Wikipedia article is rather wishy-washy about this. I think that my definition in the first paragraph is actually correct. "
"Is programming learned inductively or deductively?", "I don’t feel I completely understand this question (or perhaps don't understand the intention behind the question). But we can certainly start by comparing various kinds of reasoning already addressed in Quora: What's the difference between “inductive“ “deductive“ and “abductive“ reasoning? Let me add an additional one or two: “projective reasoning” — this is similar to “abductive reasoning”. It is familiar in both mathematics and programming as a kind of “feeling” about a situation (in programming it often occurs as a “sense of difficulty or ease” when a problem is mentioned). It is also likely related to what is called “forward reasoning”: to take definitions/premises and drive them “forward” using logical operations to reach conclusions (so: similar to deduction but driving “outwards”). My first paying job as a programmer/coder was in 1962 — so 63 years ago as of this writing — as an enlisted man in the US Air Force. They had a test to screen for possible aptitudes. Those who passed were trained by IBM in a single dense wall to wall week and then sent back to base to write and debug code (i.e. the rest of the training was “on the job training”). From my own personal experience I would say the answer to this question is “All of the above (including my additions) and more”. One example of “more” is that it was common enough back then for the hardware to have glitches — sometimes “intermittant glitches” — so that one could not completely rely that executions were completely deterministic. I think I might instead say that “Learning programming is both learning how to “solve problems” and especially how to “find problems” mixed in with much more “design” than one appreciates at first.”"

"What are your thoughts on a future where code is represented as a structured model, rather than text? Do you think that AI-powered coding assistants benefit from that?","First, it’s worth noting that the “syntax recognition” phase of most compilers already does build a “structured model”, often in what used to be called a “canonical form” (an example of this might be a “pseudo-function tree” where every elementary process"
Why did Japan’s Fifth Generation Computer Systems project fail commercially? Are any of its concepts and advances presently being utilized?,"The answer by Marcus Triska sums up much of the history and context rather well Why did the Japanese ""Fifth Generation"" project to reinvent computing based on parallel logic programming ""fail""? And what can be learned from it? Are there results that might"
"How does Alan Kay describe the nature of his way of collaboration? Would he be willing to work with teams that are below average, which could diminish the quality of his work and lower his motivation?","I don’t know the answer to this (I’ve always tried to work with colleagues who are more able than I am — going back to playing in bands, theatre, tennis, science, etc.). Also, ARPA-IPTO had the interesting idea of creating groups of smart people where no-"
"Since von Neumann invented the merge sort algo in 1945, just before ENIAC was introduced in 1946, what does Alan Kay think motivated him to explore sorting algos when computers were still so new and HLL didn't yet exist?","Richard Norman has already provided a nice short accurate answer to this question.

The notion of “algorithm” goes back at least to the early Greeks (and several are given by Euclid).

Another area that extensively used algorithms before programmable digi"
"""Great visions are not goals, but the ultimate cat toy"". What does this idea mean to Alan Kay? And could it relate to your belief that ‘you don’t truly understand something if you only understand it one way’?""","I’m trying to understand this question. I used the quoted phrase above in several talks (many are on YouTube), to explain how JCR Licklider in the 60s, was able to get so many highly talented researchers to work on interactive computing and world-wide net"
"What does Alan Kay suggest here: ""Computing is not about clocks, it's about biology"". How come the essence of computing is more about the way living organisms evolve?","I wouldn’t have said the “quoted phrase” in the way it is stated (so the quotes likely mean something else). And I wouldn’t have said “The essence of computing is more about the way living things evolve” (I would have used a term like “work”, instead of “"
